Set,Price_Euro,Pieces,Minifigs
Corner Garage,,2569,
Ford Mustang,,1471,
NASA Apollo 11 Lunar Lander,,1087,
Gingerbread House,,1477,
Harley-Davidson Fat Boy,,1023,
Woody & RC,,69,1.0
Duke Caboom's Stunt Show,,120,
Buzz and Bo Peep's Playground Adventure,,139,
RV Vacation,,178,
Buzz & Woody's Carnival Mania!,,230,
Carnival Thrill Coaster,,98,2.0
My First Tow Truck,,11,
My First Balancing Animals,,15,
My First Fun Puzzle,,15,
My First Car Creations,,34,
Creative Fun,,120,1.0
Mickey's Vacation House,,57,
Spider-Man vs. Electro,,29,
Toy Story Train,,21,
Emmet and Lucy's Visitors from the DUPLO Planet,,53,
My First Minnie Build,,10,
My First Mickey Build,,9,
Frozen Ice Castle,,59,
Police Bike,,8,
Fire Truck,,21,
Police Station,,38,
Fire Station,,76,2.0
Baby Animals,,9,
Tropical Island,,73,
World Animals,,121,
Plane,,12,
Submarine Adventure,,24,2.0
Bricks and Ideas,,123,
Basic Brick Set ,,300,
Bricks and Eyes ,,451,
Windows of Creativity,,450,
Creative Fun,,900,
Star Wars: Build Your Own Adventure Galactic Missions parts,,66,1.0
The Book of Bedtime Builds parts,,68,
Harry Potter: Build Your Own Adventure parts,,101,1.0
Christmas Ideas parts,,41,
Wooden Minifigure parts,,29,
San Francisco,,565,
Paris,,649,
Trafalgar Square,,1197,
Empire State Building,,1767,
Burj Khalifa,,333,
Minecraft Steve BigFig with Parrot,,159,
Minecraft Alex BigFig with Chicken,,160,
Minecraft Skeleton BigFig with Magma Cube,,142,
The End Battle,,222.0,
The Pirate Ship Adventure,,386.0,
The Wool Farm,,260.0,1.0
The Blaze Bridge,,372.0,
The Creeper Mine,,834.0,
The Flintstones,,748.0,
Steamboat Willie,,751.0,
Tree House,,3036.0,
Central Perk,,1070.0,
Dinosaur Fossils,,910.0,
My First Duck,,6.0,
Town Rescue - {Random Bag},,,
Town Rescue - Bird,,,
Town Rescue - Fireman,,,
Town Rescue - Cat,,,
Town Rescue - Policewoman,,,
Town Rescue - Dog,,,
Emmet's 'Piece' Offering,,44.0,1.0
Fire ATV,,39.0,1.0
Sky Police Jetpack,,33.0,
Race Boat,,34.0,
Popcorn Cart,,43.0,
Space Satellite,,36.0,
Naboo Starfighter,,48.0,
Snowspeeder,,49.0,
Minecraft Steve and Creeper Set,,36,2.0
Tulips,,90,
Emma's Bumper Cars,,66,
Mia's Water Fun,,28,
Spider-Man's Mini Spider Crawler,,73,1.0
Iron Man and Dum-E,,38,
Rex's Plantimal Ambush,,32,
Podracer,,58,
Lucy vs. Alien Invader,,44,1.0
Mini Master-Building MetalBeard,,42,
Mini Master-Building Emmet,,49,1.0
Sam-X,,56,
Ninja Workout,,31,
Fire Flight,,54,1.0
Fish Free Builds - Make It Yours,,39,
Elsa's Winter Throne,,42,1.0
Pelican,,62,
Race Car,,68,
Santa,,67,
Star-Stuck Emmet,,41,
SHAZAM!,,5,
Obi-Wan Kenobi - Collectable Minifigure,,12,
Futuristic Flyer,,157,
Dune Buggy,,147,
Deep Sea Creatures,,230,
Sunset Track Racer,,221,
Underwater Robot,,207,
Shuttle Transporter,,341,
Helicopter Adventure,,114,
Riverside Houseboat,,396,
Race Plane,,333,
Fairground Carousel,,595,
Twin-Rotor Helicopter,,569,
Townhouse Pet Shop & Café,,969,
Outback Cabin,,305,
Year of the Pig,,152,
MSC Cruises,,181,
Jet Fighter,,23,
Caterpillar,,48,
Viking Ship,,54,
Ladybird,,27,
Crane,,64,
Frog,,39,
Ice Cream Truck,,48,
Racing Car,,50,
Eagle,,56,
UFO,,36,
Wolf,,47,
Penguin,,47,
Battle of Hoth - 20th Anniversary Edition,,195,
Avengers Tower,,211,
Space Rocket Ride,,154,
Newbury Juice Bar,,127,
Microscale Gingerbread House,,499,
Christmas Tree,,392,
Sea Accessories,,24,
NINJAGO Minifigure Set,,59,
Spider-Man and the Museum Break-In,,49,
Summer Celebration Minifigure Pack,,45,
Mars Exploration Minifigure Pack,,44,
LEGOLAND Park,,1336,
LEGOLAND Driving School Cars,,209,
Birthday Clown,,150,
Valentine's Puppy,,147,
Easter Chick,,120,
Halloween Ghost,,136,
Thanksgiving Scarecrow,,177,
"Reindeer, Elf and Elfie",,281,
Dragon Dance Guy,,170,
LEGO House Exclusive Minifigure 2019,,7,
LEGO Store Picture Frame,,170,
Name Sign,,91,
Olaf's Traveling Sleigh,,97,1.0
Battle of Endor,,197,
LEGO House Dinosaurs,,864,
